Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct,Matches
Robin Olsen,se SWE,GK,Aston Villa,34,1990,2.5,2,0.80,0,2,0,0,0,0,1,0.40,0,1,0,0,0,0,Matches
Amadou Onana,be BEL,MF,Aston Villa,22,2001,18.0,32,1.78,25,2,1,4,0,0,4,0.22,2,1,0,1,0,0,Matches
André Onana,cm CMR,GK,Manchester Utd,28,1996,34.0,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paul Onuachu,ng NGA,FW,Southampton,30,1994,11.7,9,0.77,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Frank Onyeka,ng NGA,MF,Brentford,26,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lewis Orford,eng ENG,MF,West Ham,18,2006,0.5,2,3.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stefan Ortega,de GER,GK,Manchester City,31,1992,12.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Osula,dk DEN,FW,Newcastle Utd,20,2003,1.5,4,2.69,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Dango Ouattara,bf BFA,FW,Bournemouth,22,2002,22.3,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0,Matches
Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,5.9,12,2.05,9,1,1,0,1,0,2,0.34,2,0,0,0,0,0,Matches
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13.0,3,0.23,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,35.5,202,5.70,134,21,16,21,8,2,15,0.42,11,0,2,1,1,0,Matches
Emerson Palmieri,it ITA,DF,West Ham,29,1994,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0,Matches
