Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,0,19,4,21.1,0.66,0.14,0.00,0.00,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,18.8,0,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
André,br BRA,MF,Wolves,23,2001,27.5,0,10,1,10.0,0.36,0.04,0.00,0.00,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Michail Antonio,jm JAM,FW,West Ham,34,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
Antony,br BRA,"DF,MF",Manchester Utd,24,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cameron Archer,eng ENG,FW,Southampton,23,2001,16.0,2,28,10,35.7,1.75,0.62,0.07,0.20,12.8,0,0,1,5.7,4.9,0.18,-3.7,-2.9,Matches
Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,22.4,3,17,7,41.2,0.76,0.31,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches
Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,0,1,0,0.0,0.03,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,3,22,9,40.9,2.66,1.09,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,+0.1,Matches
Brandon Austin,eng ENG,GK,Tottenham,25,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,4.6,1,10,4,40.0,2.16,0.87,0.10,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,2,28,8,28.6,1.28,0.37,0.07,0.25,18.7,2,0,0,2.4,2.4,0.09,-0.4,-0.4,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,18.2,5,31,8,25.8,1.70,0.44,0.13,0.50,18.8,4,1,1,3.2,2.4,0.08,+1.8,+1.6,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,3,44,11,25.0,1.49,0.37,0.07,0.27,25.5,1,0,0,3.1,3.1,0.07,-0.1,-0.1,Matches
Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,3,16,5,31.3,2.48,0.77,0.19,0.60,14.2,0,0,0,1.8,1.8,0.11,+1.2,+1.2,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,19.5,9,63,20,31.7,3.23,1.03,0.14,0.45,15.1,0,0,0,7.2,7.2,0.11,+1.8,+1.8,Matches
Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,2,5,2,40.0,0.18,0.07,0.40,1.00,16.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26,1998,18.6,2,22,5,22.7,1.18,0.27,0.09,0.40,21.2,2,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,2,22,5,22.7,1.20,0.27,0.09,0.40,17.4,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sander Berge,no NOR,MF,Fulham,26,1998,24.7,0,3,1,33.3,0.12,0.04,0.00,0.00,8.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Lucas Bergvall,se SWE,MF,Tottenham,18,2006,13.5,0,12,2,16.7,0.89,0.15,0.00,0.00,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,27.6,0,3,0,0.0,0.11,0.00,0.00,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Beto,gw GNB,FW,Everton,26,1998,17.0,8,49,23,46.9,2.87,1.35,0.16,0.35,13.1,0,0,0,8.2,8.2,0.17,-0.2,-0.2,Matches
Philip Billing,dk DEN,MF,Bournemouth,28,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Yves Bissouma,ml MLI,MF,Tottenham,27,1996,15.6,2,11,4,36.4,0.70,0.26,0.18,0.50,23.4,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
Oscar Bobb,no NOR,FW,Manchester City,21,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,5.3,0,1,1,100.0,0.19,0.19,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Sven Botman,nl NED,DF,Newcastle Utd,24,2000,4.6,0,5,2,40.0,1.09,0.44,0.00,0.00,7.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,33.0,13,86,36,41.9,2.60,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,+4.4,+4.2,Matches
Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,0,10,3,30.0,1.19,0.36,0.00,0.00,14.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,0,10,3,30.0,0.36,0.11,0.00,0.00,8.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches
James Bree,eng ENG,DF,Southampton,26,1997,11.9,0,4,1,25.0,0.33,0.08,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ben Brereton,cl CHI,FW,Southampton,25,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,7.8,2,13,8,61.5,1.67,1.03,0.15,0.25,15.8,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
Armando Broja,al ALB,FW,Everton,22,2001,3.7,0,4,0,0.0,1.08,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,0,6,3,50.0,0.32,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,16.9,5,36,12,33.3,2.13,0.71,0.14,0.42,17.6,0,0,0,3.9,3.9,0.11,+1.1,+1.1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,0,10,2,20.0,0.58,0.12,0.00,0.00,9.6,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37.0,1,23,7,30.4,0.62,0.19,0.04,0.14,9.7,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,37.2,1,20,3,15.0,0.54,0.08,0.05,0.33,25.3,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
Tom Cairney,sct SCO,MF,Fulham,33,1991,7.0,2,11,4,36.4,1.58,0.57,0.18,0.50,20.4,2,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,1,12,1,8.3,0.55,0.05,0.08,1.00,19.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,2,10,6,60.0,0.92,0.55,0.20,0.33,14.1,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,3,50,19,38.0,2.80,1.06,0.06,0.16,12.3,0,0,0,6.7,6.7,0.14,-3.7,-3.7,Matches
Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.40,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,1,32,10,31.3,1.93,0.60,0.03,0.10,19.5,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches
Kaelan Casey,eng ENG,DF,West Ham,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matty Cash,pl POL,DF,Aston Villa,26,1997,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,18.8,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Timothy Castagne,be BEL,DF,Fulham,28,1995,18.3,0,8,3,37.5,0.44,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,0,7,2,28.6,0.69,0.20,0.00,0.00,11.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,1,16,3,18.8,1.68,0.32,0.06,0.33,17.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,0,3,1,33.3,6.00,2.00,0.00,0.00,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,0,5,2,40.0,4.17,1.67,0.00,0.00,20.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,2.9,1,5,3,60.0,1.74,1.04,0.20,0.33,25.4,2,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Chiquinho,pt POR,MF,Wolves,24,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,13.1,0,17,2,11.8,1.30,0.15,0.00,0.00,18.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Conor Coady,eng ENG,DF,Leicester City,31,1993,19.0,1,2,2,100.0,0.11,0.11,0.50,0.50,6.9,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches
Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
Nathan Collins,ie IRL,DF,Brentford,23,2001,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Levi Colwill,eng ENG,DF,Chelsea,21,2003,35.0,2,17,4,23.5,0.49,0.11,0.12,0.50,9.5,0,0,0,1.9,1.9,0.11,+0.1,+0.1,Matches
Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Maxwel Cornet,ci CIV,FW,Southampton,27,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Vladimír Coufal,cz CZE,DF,West Ham,31,1992,11.9,0,7,2,28.6,0.59,0.17,0.00,0.00,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,34,1989,9.2,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,5,24,11,45.8,0.72,0.33,0.21,0.45,16.1,0,0,0,2.8,2.8,0.12,+2.2,+2.2,Matches
Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,0,1,0,0.0,0.26,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,+6.4,+6.4,Matches
Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,8.2,1,15,4,26.7,1.83,0.49,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,31.3,0,25,5,20.0,0.80,0.16,0.00,0.00,16.1,0,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,32.3,2,35,7,20.0,1.08,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jayden Danns,eng ENG,MF,Liverpool,18,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kevin Danso,at AUT,DF,Tottenham,25,1998,9.4,0,7,3,42.9,0.75,0.32,0.00,0.00,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Ben Davies,wls WAL,DF,Tottenham,31,1993,14.8,0,5,1,20.0,0.34,0.07,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Leif Davis,eng ENG,DF,Ipswich Town,24,2000,30.5,1,16,2,12.5,0.52,0.07,0.06,0.50,19.8,2,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Craig Dawson,eng ENG,DF,Wolves,34,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,18.9,4,57,15,26.3,3.01,0.79,0.07,0.27,21.4,8,0,0,5.1,5.1,0.09,-1.1,-1.1,Matches
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,31,1993,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
Liam Delap,eng ENG,FW,Ipswich Town,21,2003,28.8,12,66,29,43.9,2.29,1.01,0.15,0.34,16.0,0,2,2,9.3,7.8,0.12,+2.7,+2.2,Matches
Sepp van den Berg,nl NED,DF,Brentford,22,2001,28.7,0,20,6,30.0,0.70,0.21,0.00,0.00,10.5,0,0,0,2.0,2.0,0.10,-2.0,-2.0,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,20,2003,5.6,1,10,6,60.0,1.78,1.07,0.10,0.17,21.1,1,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,2.9,0,1,0,0.0,0.34,0.00,0.00,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,21.1,8,47,17,36.2,2.23,0.80,0.17,0.47,17.5,0,0,0,4.7,4.7,0.10,+3.3,+3.3,Matches
Rúben Dias,pt POR,DF,Manchester City,27,1997,25.2,0,21,7,33.3,0.83,0.28,0.00,0.00,19.4,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
Luis Díaz,co COL,FW,Liverpool,27,1997,26.7,13,71,30,42.3,2.66,1.13,0.18,0.43,13.4,0,0,0,12.0,12.0,0.17,+1.0,+1.0,Matches
Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31,1993,26.1,0,13,3,23.1,0.50,0.11,0.00,0.00,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Issa Diop,fr FRA,DF,Fulham,27,1997,14.9,0,5,2,40.0,0.34,0.13,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Axel Disasi,fr FRA,DF,Aston Villa,26,1998,5.4,0,2,0,0.0,0.37,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Axel Disasi,fr FRA,DF,Chelsea,26,1998,4.0,1,2,1,50.0,0.49,0.25,0.50,1.00,12.3,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
Roman Dixon,eng ENG,DF,Everton,19,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nasser Djiga,bf BFA,DF,Wolves,21,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matt Doherty,ie IRL,DF,Wolves,32,1992,23.4,2,10,3,30.0,0.43,0.13,0.20,0.67,11.4,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,16.8,3,29,9,31.0,1.72,0.53,0.10,0.33,17.7,0,0,0,1.3,1.3,0.05,+1.7,+1.7,Matches
